
Purchases Report
-------------------------------------------------------------------------------------------------------------------
Name                     Title                                                                            Price   
Malcolm Henry            Their Eyes Were Watching God                                                     $4.63
Len Wood                 Of Mice and Men                                                                  $9.72
Imogene Jimenez          The Host                                                                         $2.83
Jerome Hendrix           Wonder                                                                           $0.04
Rhonda Oconnor           Lolita                                                                           $7.83
Hakeem Shaffer           …trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager    $3.03
Nerea Meyers             The Bell Jar                                                                     $7.77
Lila Anthony             Of Mice and Men                                                                  $1.79
Audra Whitley            In Cold Blood                                                                    $0.99
Autumn Estrada           Nineteen Minutes                                                                 $1.56
Ferris Reese             Breaking Dawn                                                                    $6.25
George Caldwell          The Wise Man's Fear                                                              $1.36
Ciara Merritt            The Pact                                                                         $5.68
Fuller Whitley           Alice in Wonderland                                                              $1.21
Althea Clay              Prince Caspian: The Return to Narnia                                             $6.34
Fritz Snider             A Midsummer Night's Dream                                                        $7.57
Nathan Golden            The Curious Incident of the Dog in the Night-Time                                $2.71
Montana Carr             Im Westen nichts Neues                                                           $6.08
Bradley Prince           Wild: From Lost to Found on the Pacific Crest Trail                              $1.36
Uma Garrison             Breaking Dawn                                                                    $4.80
Zia Hansen               The Crucible                                                                     $3.13
Fritz Snider             The Road                                                                         $6.40
Althea Clay              The Red Pyramid                                                                  $1.35
Karyn Irwin              The Return of the King                                                           $1.70
Iola Arnold              The Night Circus                                                                 $2.54
Shelley Kidd             The Grapes of Wrath                                                              $8.30
Talon Dale               A Dance with Dragons                                                             $6.32
Uma Garrison             Holes                                                                            $4.01
Jescie Mcbride           The Host                                                                         $2.15
Ferris Reese             Les Misérables                                                                  $4.57
Montana Carr             She's Come Undone                                                                $7.14
Xanthus Barnes           …trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager    $2.98
Fulton Merritt           Pet Sematary                                                                     $5.67
Kirestin Gill            Orphan Train                                                                     $0.51
Adam Mccullough          It                                                                               $1.81
George Caldwell          Salem's Lot                                                                      $5.91
Kareem Robertson         Ender's Game                                                                     $1.55
Abbot Stanley            The Undomestic Goddess                                                           $2.46
Wing Richardson          The Elite                                                                        $1.83
Quentin Strickland       Illiad                                                                           $0.85
Kaitlin Oneil            Les Misérables                                                                  $0.49
Ciara Merritt            Who Moved My Cheese?                                                             $7.96
Trevor Salinas           Dress Your Family in Corduroy and Denim                                          $8.06
Wallace Estrada          Can You Keep a Secret?                                                           $2.40
Nehru Donovan            Treasure Island                                                                  $4.42
Zia Hansen               Ender's Game                                                                     $0.54
Lane Kidd                The Colour of Magic                                                              $2.50
Montana Carr             My Sister's Keeper                                                               $8.53
Lane Kidd                Пре�?тупление и наказание                                   $9.66
Patrick Snider           The Lion, the Witch and the Wardrobe                                             $3.64
Marvin Cantrell          Into Thin Air: A Personal Account of the Mt. Everest Disaster                    $7.43
Imogene Jimenez          The Client                                                                       $6.68
Audra Whitley            Yes Please                                                                       $7.41
Montana Carr             The Bell Jar                                                                     $6.14
Chase Ball               Siddhartha                                                                       $2.47
Alice Patrick            La sombra del viento                                                             $0.06
Thor Clarke              The Goldfinch                                                                    $9.81
